iter	Passed	Remaining
0	52	52879
1	53	26806
2	54	18103
3	55	13700
4	55	11056
5	56	9301
6	57	8127
7	58	7211
8	59	6501
9	59	5910
10	60	5422
11	61	5057
12	62	4720
13	62	4418
14	63	4153
15	63	3918
16	64	3714
17	64	3537
18	65	3384
19	66	3241
20	66	3110
21	67	2993
22	67	2884
23	68	2784
24	68	2690
25	69	2605
26	69	2522
27	70	2446
28	70	2373
29	71	2306
30	71	2245
31	72	2187
32	72	2134
33	73	2081
34	73	2031
35	74	1984
36	74	1940
37	74	1897
38	75	1858
39	75	1821
40	76	1786
41	76	1752
42	77	1719
43	77	1691
44	78	1664
45	79	1638
46	79	1615
47	80	1591
48	100	1947
49	101	1922
50	128	2396
51	129	2359
52	130	2330
53	131	2303
54	132	2272
55	132	2239
56	133	2208
57	133	2176
58	134	2143
59	134	2111
60	135	2081
61	135	2051
62	135	2022
63	136	1994
64	136	1968
65	137	1943
66	137	1919
67	138	1894
68	138	1871
69	139	1847
70	139	1827
71	140	1807
72	140	1788
73	141	1770
74	142	1751
75	142	1731
76	142	1713
77	143	1694
78	143	1676
79	144	1659
80	144	1643
81	145	1626
82	145	1607
83	145	1591
84	146	1575
85	146	1560
86	147	1545
87	147	1530
88	148	1515
89	148	1500
90	148	1486
91	149	1472
92	149	1460
93	150	1446
94	150	1433
95	150	1420
96	151	1408
97	151	1396
98	152	1385
99	152	1374
100	153	1365
101	153	1355
102	154	1344
103	154	1334
104	155	1324
105	155	1314
106	156	1304
107	156	1295
108	157	1285
109	157	1276
110	158	1267
111	158	1258
112	159	1248
113	159	1239
114	159	1230
115	160	1221
116	160	1212
117	161	1203
118	161	1195
119	161	1186
120	162	1178
121	162	1170
122	163	1163
123	163	1155
124	164	1148
125	164	1140
126	164	1133
127	165	1127
128	166	1121
129	166	1115
130	167	1108
131	167	1101
132	167	1094
133	168	1088
134	168	1082
135	169	1076
136	169	1070
137	170	1064
138	170	1058
139	171	1051
140	171	1045
141	171	1038
142	172	1032
143	172	1026
144	172	1020
145	173	1014
146	173	1008
147	174	1002
148	174	996
149	174	991
150	175	986
151	175	981
152	176	975
153	176	970
154	177	964
155	177	960
156	178	955
157	178	951
158	179	947
159	179	942
160	179	937
161	180	932
162	180	927
163	181	922
164	181	918
165	181	913
166	182	909
167	182	905
168	183	901
169	183	896
170	184	892
171	184	887
172	184	883
173	185	879
174	185	874
175	185	870
176	186	866
177	186	862
178	187	858
179	187	854
180	187	850
181	188	846
182	188	842
183	189	838
184	189	834
185	189	830
186	190	827
187	190	824
188	191	821
189	192	819
190	192	815
191	193	812
192	193	808
193	193	805
194	194	802
195	194	799
196	195	796
197	195	793
198	196	789
199	196	785
200	196	782
201	197	779
202	197	775
203	197	772
204	198	769
205	198	765
206	199	762
207	199	759
208	199	756
209	200	753
210	200	750
211	201	747
212	201	744
213	201	741
214	202	738
215	202	735
216	203	733
217	203	730
218	204	728
219	204	725
220	205	722
221	205	720
222	205	717
223	206	714
224	206	712
225	207	709
226	207	706
227	207	704
228	208	701
229	208	698
230	209	696
231	209	693
232	209	690
233	210	688
234	210	685
235	210	682
236	211	680
237	211	677
238	211	674
239	212	671
240	212	669
241	212	666
242	213	664
243	213	661
244	213	659
245	214	656
246	214	653
247	214	651
248	215	649
249	215	646
250	215	644
251	216	642
252	216	640
253	217	637
254	217	635
255	217	632
256	218	630
257	218	628
258	218	626
259	219	623
260	219	621
261	219	619
262	220	616
263	220	614
264	220	612
265	220	609
266	221	607
267	221	605
268	221	603
269	222	600
270	222	598
271	222	596
272	223	594
273	223	592
274	223	589
275	224	587
276	224	585
277	224	583
278	224	581
279	225	579
280	225	577
281	226	575
282	226	573
283	226	571
284	227	569
285	227	568
286	228	566
287	228	565
288	229	563
289	229	562
290	229	560
291	230	558
292	231	557
293	231	556
294	232	555
295	232	553
296	233	552
297	233	551
298	234	549
299	234	548
300	235	546
301	235	545
302	236	543
